Source: MJ Menne CN Williams Jr. RS Vose NOAA National Climatic Data Center Asheville NC
State_id  ,YEAR  ,Month  ,TMAX (F) 
'437054',1925,5,59.8 
'437054',1925,6,74.5 
'437054',1925,7,75.3 
'437054',1925,8,76.9 
'437054',1925,9,65.8 
'437054',1925,10,45 
'437054',1925,11,41.1 
'437054',1925,12,27.2 
'437054',1926,1,23.5 
'437054',1926,2,22.8 
'437054',1926,3,30.8 
'437054',1926,4,42.8 
'437054',1926,5,63.2 
'437054',1926,6,71 
'437054',1926,7,78 
'437054',1926,8,73.4 
'437054',1926,9,66.4 
'437054',1926,10,53.6 
'437054',1926,11,41.5 
'437054',1926,12,22.6 
'437054',1927,1,25 
'437054',1927,2,28.4 
'437054',1927,3,41.7 
'437054',1927,4,52.1 
'437054',1927,5,60.9 
'437054',1927,6,70.6 
'437054',1927,7,78.8 
'437054',1927,8,72.5 
'437054',1927,9,68.9 
'437054',1927,10,57.9 
'437054',1927,11,44.9 
'437054',1927,12,29.3 
'437054',1928,1,25.3 
'437054',1928,2,26.3 
'437054',1928,3,34.5 
'437054',1928,4,46.5 
'437054',1928,5,62.5 
'437054',1928,6,70.4 
'437054',1928,7,79.9 
'437054',1928,8,78.1 
'437054',1928,9,64.3 
'437054',1928,10,58.4 
'437054',1928,11,40.5 
'437054',1928,12,31.4 
'437054',1929,1,22.3 
'437054',1929,2,26.4 
'437054',1929,3,39.6 
'437054',1929,4,50.3 
'437054',1929,5,66.1 
'437054',1929,6,74.7 
'437054',1929,7,79 
'437054',1929,8,72.7 
'437054',1929,9,70.1 
'437054',1929,10,56 
'437054',1929,11,40.8 
'437054',1929,12,25.7 
'437054',1930,1,26.5 
'437054',1930,2,29.5 
'437054',1930,3,36.5 
'437054',1930,4,50.6 
'437054',1930,5,66.7 
'437054',1930,6,78.2 
'437054',1930,7,77.5 
'437054',1930,8,73.8 
'437054',1930,9,70.4 
'437054',1930,10,56.7 
'437054',1930,11,42.9 
'437054',1930,12,29.6 
'437054',1931,1,23.1 
'437054',1931,2,27.1 
'437054',1931,3,40.3 
'437054',1931,4,55.7 
'437054',1931,5,66.8 
'437054',1931,6,74.6 
'437054',1931,7,82.1 
'437054',1931,8,76 
'437054',1931,9,69.1 
'437054',1931,10,58.9 
'437054',1931,11,45.7 
'437054',1931,12,31 
'437054',1932,1,33.9 
'437054',1932,2,27.7 
'437054',1932,3,31.7 
'437054',1932,4,48.6 
'437054',1932,5,68.2 
'437054',1932,6,74.6 
'437054',1932,7,75.6 
'437054',1932,8,77.6 
'437054',1932,9,69.3 
'437054',1932,10,57.7 
'437054',1932,11,39.7 
'437054',1932,12,33.3 
'437054',1933,1,34.3 
'437054',1933,2,30.3 
'437054',1933,3,33.7 
'437054',1933,4,51 
'437054',1933,5,69.1 
'437054',1933,6,77.5 
'437054',1933,7,79.7 
'437054',1933,8,75.5 
'437054',1933,9,68.2 
'437054',1933,10,53.2 
'437054',1933,11,34.7 
'437054',1933,12,20.9 
'437054',1934,1,25.2 
'437054',1934,2,17.7 
'437054',1934,3,35.4 
'437054',1934,4,52.6 
'437054',1934,5,69.5 
'437054',1934,6,77 
'437054',1934,7,80.6 
'437054',1934,8,74.1 
'437054',1934,9,70.9 
'437054',1934,10,51.5 
'437054',1934,11,42.2 
'437054',1934,12,24.3 
'437054',1935,1,19.2 
'437054',1935,2,25 
'437054',1935,3,37.3 
'437054',1935,4,49.8 
'437054',1935,5,60.1 
'437054',1935,6,73.9 
'437054',1935,7,83 
'437054',1935,8,77.8 
'437054',1935,9,64 
'437054',1935,10,58.1 
'437054',1935,11,44.2 
'437054',1935,12,21.5 
'437054',1936,1,20.6 
'437054',1936,2,21.3 
'437054',1936,3,44.9 
'437054',1936,4,45.9 
'437054',1936,5,69.2 
'437054',1936,6,76.9 
'437054',1936,7,77.9 
'437054',1936,8,76.4 
'437054',1936,9,68.8 
'437054',1936,10,55.4 
'437054',1936,11,34.7 
'437054',1936,12,30.2 
'437054',1937,1,33.4 
'437054',1937,2,30.6 
'437054',1937,3,31.6 
'437054',1937,4,50.1 
'437054',1937,5,67.8 
'437054',1937,6,75.1 
'437054',1937,7,81.4 
'437054',1937,8,81.1 
'437054',1937,9,68.8 
'437054',1937,10,55.2 
'437054',1937,11,39.7 
'437054',1937,12,26.7 
